Price,Mileage,Color,Production Year,Transmission,Description
"1,500,000,000","500,000 km",سفید,1388,دنده ای,
"650,000,000","230,000 km",نقره ای,1390,دنده ای,"مدل ۹۰
دوگانه کارخانه 
یکسال بیمه
۴ حلقه لاستیک نو"
"900,000,000","250,000 km",زرد,1395,دنده ای,"تاکسی سمند lx دو گانه سوزef7
کم کار کرد بیمه تا فروردین ۱۴۰۶ سالم گردشی"
"1,385,000,000",صفر کیلومتر,سفید,1399,دنده ای,"سلام
ماشین کاملا نو هست 
از نمایندگی سال ۹۹تحویل گرفته شده تو پارکینگ بوده تا الان 
بوی صفری ماشین هنوز توش میاد 
خریدار واقعی تماس بگیرد"
0,صفر کیلومتر,سفید,1403,دنده ای,"فول موتور Ef7 دارای گارانتی وبیمه بدنه طلایی، وشخص ثالث وبدون خط وخش، کارکرد ۳۵۸ کیلومتر"
"1,100,000,000","220,000 km",سفید,1395,دنده ای,
"1,050,000,000","290,000 km",سفید,1397,دنده ای,"به نام خدا 
سمند ef7 مدل آخر ۹۷ 
بیمه تا برج ۹
کولر فول 
مانیتور با دوربین عقب 
روکش صندلی نو 
کیت مکش
"
"2,040,000,000",صفر کیلومتر,سفید,1405,دنده ای,دا رای کارت طلایی و گارانتی
"1,220,000,000","96,000 km",سفید,1398,دنده ای,"فنی بسیار تمیز در حد
لاستیک جلو تازه تعویض شده عقب ۸۰ درصد
 همه مصرفی ها و شمع و تسمه تایم و ... به موقع تعویض شده وماشین بدون هیچ صدا وداخل ماشین و موتوری و فنی در حد صفر
سند دست اول ماشین بدون هیچ ایرادی واقعا بدون مشابه
گلگیر جلو سمت راننده یک ضربه کوچیک داشته در حد یک انگشت نیاز به رنگ شدگی داشته که انجام نشده و کل ماشین بی رنگ و بدون خط و خش"
0,صفر کیلومتر,مشکی,1405,دنده ای,حواله ی موجود میباشد
"1,230,000,000","59,000 km",خاکستری,1400,دنده ای,خودرو سمند در حدصفرزیر پا عالی بدون خط و خش و بدون رنگ
"1,900,000,000",صفر کیلومتر,مشکی,1404,دنده ای,"همه اسناد مدارک آماده 
کارت سوخت.کارت ماشین.سند ماشین 
خرید حضوری اصفهان"
"2,000,000,000",صفر کیلومتر,سفید,1404,دنده ای,
"1,750,000,000","25,000 km",سفید,1403,دنده ای,
